,sales_IT,sales_RandD,sales_accounting,sales_hr,sales_management,sales_marketing,sales_product_mng,sales_sales,sales_support,sales_technical,salary_high,salary_low,salary_medium,satisfaction_level,last_evaluation,number_project,average_montly_hours,time_spend_company,monthly_hrs_per_proj,satis_eval_interaction,Work_accident,promotion_last_5years
0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.5553908559093623,-0.619346436771614,-0.6534115636961743,-0.2608871998440411,0.34061666486706016,0.2967792980195087,0.738893027805507,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,-1.8183939426684324,0.37200735261604234,0.15695384744495194,-0.10065248177232064,1.024071407632922,-0.42232086644507266,-1.411590636275606,0.0,0.0
2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.7521087610098875,0.4886372101910608,-0.6534115636961743,-0.5212686167105868,-1.0262928206646635,0.06877192879903188,0.8718578050570192,0.0,0.0
3,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.18981129458025506,0.8385267829161156,0.15695384744495194,-1.7831170215253853,1.7075261503987837,-1.5272796557443076,0.5509694759567041,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,-2.019214466393301,1.2467312844286802,2.58805008086833,1.6619294170166041,0.34061666486706016,-0.8658077274563304,-1.51131421921424,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,-2.099542675883249,0.6635819965535878,1.7776846697272042,1.8822521543652198,1.024071407632922,-0.41355135224428524,-1.6336418142856306,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,-0.8142913240440889,-1.3774405110092334,-0.6534115636961743,-0.9218554118898878,-1.0262928206646635,-0.28200863923247155,-1.0924751708719787,1.0,0.0
7,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.051173333889587634,0.25537749504102386,0.967319258586078,-0.6614739950233421,-1.0262928206646635,-1.232623978597845,0.056340504581080954,1.0,0.0
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,-1.2159323714938262,-1.3191255822217243,0.15695384744495194,-0.7215620143002374,-0.34283807789880166,-0.8301032767816952,-1.291479120825074,1.0,0.0
9,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.6937990098091675,-1.260810653434215,-1.4637769748373004,-1.0620607902026433,-0.34283807789880166,0.8931062636730642,-0.989649076464143,0.0,0.0
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,-0.21182975286948233,-0.852606151921651,0.15695384744495194,-0.8016793733360975,-0.34283807789880166,-0.8827203619864206,-0.5499788796858116,0.0,0.0
11,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.8544554287890624,-0.9109210807091596,-1.4637769748373004,-1.4025595661050492,-0.34283807789880166,0.4458610394328977,-0.9719204394972747,0.0,0.0
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,-0.8946195335340362,0.7802118541286064,0.967319258586078,-0.44115125767472657,1.024071407632922,-1.116866391147449,-0.4954633210126917,0.0,0.0
13,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.8324369704998347,1.6549357859412444,0.15695384744495194,0.5603157302735262,1.7075261503987837,0.011770086493912486,1.6696464685660877,0.0,0.0
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,-1.858558047413406,-1.2024957246467058,1.7776846697272042,0.9408731856938622,1.024071407632922,-0.8257185196813012,-1.6256639276505398,0.0,0.0
15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,-2.099542675883249,0.6635819965535878,1.7776846697272042,1.621870737498674,0.34061666486706016,-0.5275550368545237,-1.6336418142856306,0.0,0.0
16,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.310303608815176,-1.2024957246467058,-0.6534115636961743,1.1211372435245477,-0.34283807789880166,1.506972257728195,-0.40504727248166394,1.0,0.0
17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.2340780179495725,-1.4940703685842516,0.967319258586078,-0.12068182153128569,1.024071407632922,-0.9484917184923274,-0.08903431854723808,0.0,0.0
18,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-1.858558047413406,1.1301014268536618,1.7776846697272042,1.601841397739709,-0.34283807789880166,-0.5363245510553111,-1.3597343731475167,0.0,0.0
19,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.9749477430239838,-0.852606151921651,-1.4637769748373004,-1.4426182456229792,-0.34283807789880166,0.39324395422817215,-1.0299817255637682,0.0,0.0
